,,,,,,
,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
"Feb 11, 2025","1,020.79","1,022.69","1,002.95","1,008.08","1,008.08","3,194,611"
"Feb 10, 2025","1,023.05","1,032.85","1,015.88","1,027.60","1,027.60","3,296,600"
"Feb 7, 2025","1,017.00","1,027.76","1,005.67","1,013.93","1,013.93","3,212,900"
"Feb 6, 2025","1,007.87","1,016.35","1,002.61","1,015.68","1,015.68","3,134,300"
"Feb 5, 2025",987.73,"1,011.83",986.68,"1,011.11","1,011.11","3,993,400"
"Feb 4, 2025",980.47,"1,008.00",978.51,994.87,994.87,"6,000,100"
"Feb 3, 2025",973,987.69,964.38,978.94,978.94,"3,724,200"
"Jan 31, 2025",974,990.29,974,976.76,976.76,"3,618,700"
"Jan 30, 2025",986.75,994.59,970.01,973.24,973.24,"3,867,800"
"Jan 29, 2025",980,987.64,968.23,978.15,978.15,"2,930,700"
"Jan 28, 2025",966.71,977.93,957.3,971.83,971.83,"3,434,000"
"Jan 27, 2025",971.1,982.27,960.26,971.89,971.89,"4,634,200"
"Jan 24, 2025",984.41,986.28,967.68,977.59,977.59,"4,550,400"
"Jan 23, 2025",957.81,985,953.9,984.86,984.86,"7,752,100"
"Jan 22, 2025",998.03,999,950.76,953.99,953.99,"14,273,200"
"Jan 21, 2025",863.53,916.4,854.75,869.68,869.68,"9,851,400"
"Jan 17, 2025",859.79,865,852.13,858.1,858.1,"3,617,600"
"Jan 16, 2025",860.96,868.98,842.02,842.37,842.37,"4,028,500"
"Jan 15, 2025",836.44,850.84,830.41,848.26,848.26,"3,181,400"
"Jan 14, 2025",843.2,844.89,823.52,828.4,828.4,"3,037,700"
"Jan 13, 2025",831.53,847.07,829.14,840.29,840.29,"3,024,500"
"Jan 10, 2025",866.4,866.41,834.4,837.69,837.69,"4,803,300"
"Jan 8, 2025",880,886.22,873,875,875,"2,347,900"
"Jan 7, 2025",879.38,888,869.11,879.19,879.19,"2,649,800"
"Jan 6, 2025",888.76,892.83,871.69,881.79,881.79,"3,457,700"
"Jan 3, 2025",893.13,898.83,879.89,881.05,881.05,"2,967,300"
"Jan 2, 2025",895.5,898.58,877,886.73,886.73,"2,312,300"
"Dec 31, 2024",901.8,902.68,889.47,891.32,891.32,"1,875,900"
"Dec 30, 2024",894.51,908.23,889.71,900.43,900.43,"2,203,000"
"Dec 27, 2024",916.01,918.13,894.5,907.55,907.55,"3,226,200"
"Dec 26, 2024",928.4,930.49,915.3,924.14,924.14,"2,340,300"
"Dec 24, 2024",915,935.85,911.7,932.12,932.12,"2,320,300"
"Dec 23, 2024",913.42,915,899.1,911.45,911.45,"2,339,400"
"Dec 20, 2024",893.21,919.92,890.49,909.05,909.05,"4,530,500"
"Dec 19, 2024",908.18,912.62,899,902.04,902.04,"2,815,500"
"Dec 18, 2024",919.13,922.44,886.56,889.55,889.55,"2,938,200"
"Dec 17, 2024",921.54,928.45,916.42,919.13,919.13,"2,459,500"
"Dec 16, 2024",923.94,928.94,919.5,921.08,921.08,"2,674,900"
"Dec 13, 2024",916.81,925.55,909.61,918.87,918.87,"2,485,800"
"Dec 12, 2024",933.35,934.09,922.6,925.55,925.55,"2,486,200"
"Dec 11, 2024",924.71,941.75,923.08,936.56,936.56,"3,501,700"
"Dec 10, 2024",913.76,922.88,909.58,913.35,913.35,"2,388,600"
"Dec 9, 2024",928,930.3,902.59,913.69,913.69,"3,350,100"
"Dec 6, 2024",915.23,935.27,912.71,934.74,934.74,"2,955,400"
"Dec 5, 2024",917.85,927,911.11,917.87,917.87,"2,835,300"
"Dec 4, 2024",898.05,915.97,898.05,911.06,911.06,"2,689,600"
"Dec 3, 2024",894.36,902.69,888.03,902.17,902.17,"2,401,600"
"Dec 2, 2024",887.51,902.34,884.12,897.74,897.74,"2,389,000"
"Nov 29, 2024",882.17,892.41,876.68,886.81,886.81,"2,027,200"
"Nov 27, 2024",872.06,880.95,858.91,877.34,877.34,"2,578,200"
"Nov 26, 2024",867.49,886.36,867.25,872.6,872.6,"3,138,300"
"Nov 25, 2024",902.05,902.05,864.22,865.59,865.59,"6,014,200"
"Nov 22, 2024",896,906,893,897.79,897.79,"3,214,000"
"Nov 21, 2024",883.93,908,877.24,897.48,897.48,"4,511,300"
"Nov 20, 2024",879.98,890.6,868.4,883.85,883.85,"4,093,800"
"Nov 19, 2024",839.75,874.49,839.16,871.32,871.32,"3,814,200"
"Nov 18, 2024",815.5,848.45,809.33,847.05,847.05,"4,084,100"
"Nov 15, 2024",832.04,832.04,816.49,823.96,823.96,"3,673,700"
"Nov 14, 2024",833.67,841,830.02,837.26,837.26,"3,038,200"
"Nov 13, 2024",822.62,836.99,820.54,830.47,830.47,"2,767,800"
"Nov 12, 2024",807.5,820.37,803.75,819.5,819.5,"2,814,100"
"Nov 11, 2024",795.9,806.82,795.57,805.44,805.44,"2,399,200"
"Nov 8, 2024",797.36,799.06,788.65,795.04,795.04,"1,910,600"
"Nov 7, 2024",781.37,798.22,779.94,796.54,796.54,"3,295,100"
"Nov 6, 2024",771.5,781.49,757.38,780.21,780.21,"3,690,800"
"Nov 5, 2024",757.35,767.53,756.27,763.91,763.91,"2,200,600"
"Nov 4, 2024",753.14,762.48,749.69,755.51,755.51,"1,902,200"
"Nov 1, 2024",753.48,763.8,747.77,756.1,756.1,"2,996,800"
"Oct 31, 2024",753.93,760.79,752.23,756.03,756.03,"3,057,700"
"Oct 30, 2024",758.08,759.79,752.28,753.74,753.74,"1,722,000"
"Oct 29, 2024",751.13,763.88,748.01,759.44,759.44,"3,660,400"
"Oct 28, 2024",758.68,758.68,747.88,749.12,749.12,"2,862,400"
"Oct 25, 2024",756.17,768.5,753.53,754.68,754.68,"2,819,500"
"Oct 24, 2024",751.97,755.82,746.25,754.55,754.55,"2,643,000"
"Oct 23, 2024",762.83,763.79,744.26,749.29,749.29,"3,749,000"
"Oct 22, 2024",765.27,769.7,761.12,764.24,764.24,"2,987,300"
"Oct 21, 2024",765.76,773,756.6,772.07,772.07,"6,057,100"
"Oct 18, 2024",737.64,766.28,736.23,763.89,763.89,"15,974,100"
"Oct 17, 2024",704.35,704.41,677.88,687.65,687.65,"8,926,700"
"Oct 16, 2024",703.43,705.59,697.82,702,702,"2,494,300"
"Oct 15, 2024",712.51,713.4,699.78,705.98,705.98,"2,932,800"
"Oct 14, 2024",725,726.62,711.31,713,713,"2,797,100"
"Oct 11, 2024",734.9,736,721.22,722.79,722.79,"2,299,500"
"Oct 10, 2024",723.29,733.85,722.5,730.29,730.29,"2,767,900"
"Oct 9, 2024",719.25,728.59,718.87,727.43,727.43,"1,981,100"
"Oct 8, 2024",703.88,725.06,703.55,721.76,721.76,"3,187,400"
"Oct 7, 2024",714.76,715.88,696.43,701.92,701.92,"3,360,500"
"Oct 4, 2024",713.32,721.01,708.82,719.7,719.7,"2,229,000"
"Oct 3, 2024",704.26,708.81,700,706.8,706.8,"2,256,400"
"Oct 2, 2024",706.13,716.21,704.69,711.09,711.09,"1,758,200"
"Oct 1, 2024",713.64,717.76,698.59,706.13,706.13,"2,813,500"
"Sep 30, 2024",707,711.21,702.82,709.27,709.27,"1,709,900"
"Sep 27, 2024",708.36,710.71,701.25,707.35,707.35,"2,395,600"
"Sep 26, 2024",724.73,725.26,701.72,711.43,711.43,"2,833,000"
"Sep 25, 2024",721,725.12,716.21,721.56,721.56,"2,259,800"
"Sep 24, 2024",706.63,722.44,704.45,722.26,722.26,"3,565,700"
"Sep 23, 2024",702.39,712.25,699.16,705.37,705.37,"3,224,300"
"Sep 20, 2024",705.55,706.67,696.31,701.03,701.03,"3,998,100"
"Sep 19, 2024",705,715.66,695.37,704.32,704.32,"4,228,500"
"Sep 18, 2024",707.55,707.55,688,690.47,690.47,"2,984,400"
"Sep 17, 2024",700.82,707.63,698.37,706.91,706.91,"2,298,600"
"Sep 16, 2024",700,703.02,688.63,696.5,696.5,"1,843,700"
"Sep 13, 2024",680.01,699.64,680,697.06,697.06,"2,276,500"
"Sep 12, 2024",684.92,694.88,682.2,686.8,686.8,"2,588,400"
"Sep 11, 2024",677.46,682.97,660.8,681.47,681.47,"2,391,900"
"Sep 10, 2024",676.87,680.59,665.81,673.62,673.62,"2,079,200"
"Sep 9, 2024",674,683.5,672.14,675.42,675.42,"2,683,100"
"Sep 6, 2024",681.86,683.15,662.34,665.77,665.77,"2,991,300"
"Sep 5, 2024",673.14,687.31,671.86,683.62,683.62,"1,810,100"
"Sep 4, 2024",673.31,684.65,673.06,679.68,679.68,"1,785,300"
"Sep 3, 2024",700.1,703.86,671.01,675.32,675.32,"3,161,000"
"Aug 30, 2024",700.36,701.86,688.16,701.35,701.35,"3,266,700"
"Aug 29, 2024",690,699.8,686.07,692.48,692.48,"2,187,000"
"Aug 28, 2024",695.83,696.67,677.1,683.84,683.84,"2,430,600"
"Aug 27, 2024",688.53,707.89,686.92,695.72,695.72,"3,164,900"
"Aug 26, 2024",687.26,690.59,681.64,688.44,688.44,"1,354,200"
"Aug 23, 2024",694.13,696.07,678.63,686.73,686.73,"2,354,500"
"Aug 22, 2024",691,701.5,686.24,688.96,688.96,"2,729,400"
"Aug 21, 2024",697,701,691.38,697.12,697.12,"2,235,300"
"Aug 20, 2024",688.86,711.33,688.25,698.54,698.54,"4,813,100"
"Aug 19, 2024",674.07,688.84,672.91,688.53,688.53,"3,016,200"
"Aug 16, 2024",669.43,680.23,665.36,674.07,674.07,"3,511,000"
"Aug 15, 2024",668.49,673.19,659.8,663.22,663.22,"3,210,200"
"Aug 14, 2024",648.7,663.57,648.7,661.68,661.68,"4,014,300"
"Aug 13, 2024",638.56,650.97,635.5,648.02,648.02,"2,639,600"
"Aug 12, 2024",631,639,627.07,633.14,633.14,"2,331,700"
"Aug 9, 2024",622.99,636.62,622.99,633.94,633.94,"1,980,800"
"Aug 8, 2024",621.99,632.29,616.02,630.35,630.35,"3,283,500"
"Aug 7, 2024",616.07,632,610.64,611.48,611.48,"3,187,800"
"Aug 6, 2024",600.62,622.45,600.62,609.57,609.57,"4,319,100"
"Aug 5, 2024",587.04,604.56,587.04,598.55,598.55,"4,044,200"
"Aug 2, 2024",620.98,625.27,608.35,613.64,613.64,"3,523,000"
"Aug 1, 2024",629.25,646.71,617.61,624.85,624.85,"3,720,600"
"Jul 31, 2024",626.57,633.6,622.58,628.35,628.35,"3,134,900"
"Jul 30, 2024",630.17,634.69,617,622.58,622.58,"3,496,600"
"Jul 29, 2024",634.61,634.61,623.93,626.96,626.96,"2,400,500"
"Jul 26, 2024",645,646.99,629.77,631.37,631.37,"3,120,700"
"Jul 25, 2024",641,649.98,621.7,634.09,634.09,"4,554,500"
"Jul 24, 2024",635.74,652.42,632.67,635.99,635.99,"4,888,200"
"Jul 23, 2024",647.5,649.91,641,642.76,642.76,"2,463,600"
"Jul 22, 2024",639.5,656.29,632.6,647.5,647.5,"5,219,100"
"Jul 19, 2024",660.64,678.97,629.12,633.34,633.34,"9,815,600"
"Jul 18, 2024",656.6,657.04,639.17,643.04,643.04,"7,575,800"
"Jul 17, 2024",650,650.45,639.47,647.46,647.46,"4,017,300"
"Jul 16, 2024",661.8,663.68,649.13,656.32,656.32,"2,685,700"
"Jul 15, 2024",647.5,667.54,646.63,656.45,656.45,"3,208,800"
"Jul 12, 2024",652.75,655.92,643.71,647.6,647.6,"3,355,200"
"Jul 11, 2024",672.49,672.49,647.44,652.75,652.75,"5,106,600"
"Jul 10, 2024",685.02,687.22,673.16,677.65,677.65,"2,651,900"
"Jul 9, 2024",690,695.27,684.72,685.74,685.74,"2,596,100"
"Jul 8, 2024",687,688.86,681.49,685.74,685.74,"1,930,800"
"Jul 5, 2024",682.51,697.49,677.23,690.65,690.65,"2,659,100"
"Jul 3, 2024",677.48,683.75,675.5,682.51,682.51,"1,403,500"
"Jul 2, 2024",673.54,681.74,670.07,679.58,679.58,"2,411,400"
"Jul 1, 2024",674.89,675.02,663.78,673.61,673.61,"2,212,800"
"Jun 28, 2024",679,687,673.08,674.88,674.88,"3,412,400"
"Jun 27, 2024",679.35,688.57,678.14,684.34,684.34,"2,404,800"
"Jun 26, 2024",672.41,682.96,670.02,677.69,677.69,"3,545,800"
"Jun 25, 2024",673.44,673.67,662.3,672.41,672.41,"2,278,800"
"Jun 24, 2024",685,685.5,664.5,669.02,669.02,"3,916,300"
"Jun 21, 2024",683.26,686.9,678.1,686.12,686.12,"4,557,100"
"Jun 20, 2024",681.8,689.88,673.72,679.03,679.03,"2,585,100"
"Jun 18, 2024",675.63,687.06,674.64,685.67,685.67,"2,943,800"
"Jun 17, 2024",669.11,682.71,665.11,675.83,675.83,"3,631,200"
"Jun 14, 2024",655.05,675.58,652.64,669.38,669.38,"4,447,100"
"Jun 13, 2024",644,655.25,642.35,653.26,653.26,"1,863,600"
"Jun 12, 2024",652.21,655.78,643.11,650.06,650.06,"2,094,400"
"Jun 11, 2024",640.72,650.19,640.52,648.55,648.55,"2,167,400"
"Jun 10, 2024",641.01,644.79,635.59,644.5,644.5,"2,066,800"
"Jun 7, 2024",649.38,650.4,640.24,641.47,641.47,"1,876,600"
"Jun 6, 2024",644.89,657.99,644.24,648.52,648.52,"2,466,700"
"Jun 5, 2024",634.02,651.25,628.25,650.27,650.27,"2,682,600"
"Jun 4, 2024",633.78,635.23,626.44,631.62,631.62,"3,008,200"
"Jun 3, 2024",645.22,646.78,627.27,633.79,633.79,"2,323,500"
"May 31, 2024",644.01,648.58,628.3,641.62,641.62,"4,071,000"
"May 30, 2024",653.52,656.49,644.73,647.66,647.66,"2,393,400"
"May 29, 2024",644.13,664.25,643.89,654.62,654.62,"3,695,900"
"May 28, 2024",647.05,649.75,643.03,649,649,"2,609,500"
"May 24, 2024",639.4,652,637.6,646.75,646.75,"2,613,300"
"May 23, 2024",642.34,642.71,630,635.67,635.67,"2,313,900"
"May 22, 2024",647.14,649.25,638.12,640.47,640.47,"2,176,200"
"May 21, 2024",636.76,650.88,634.22,650.61,650.61,"2,920,200"
"May 20, 2024",620.4,644.37,619.52,640.82,640.82,"3,857,900"
"May 17, 2024",617,625.79,614.71,621.1,621.1,"3,782,700"
"May 16, 2024",615.75,618.34,609.09,610.52,610.52,"3,056,400"
"May 15, 2024",618.57,624.1,609.1,613.52,613.52,"5,670,600"
"May 14, 2024",615.17,621.48,608.4,613.66,613.66,"2,792,400"
"May 13, 2024",614.3,618.22,606.83,616.59,616.59,"2,086,200"
"May 10, 2024",619,623.98,605.06,610.87,610.87,"2,653,600"
"May 9, 2024",614.4,615.72,605.75,612.09,612.09,"2,065,400"
"May 8, 2024",601.63,618.22,601.63,609.47,609.47,"3,093,900"
"May 7, 2024",596.28,606.05,591.32,606,606,"3,614,100"
"May 6, 2024",581.82,597.34,580.25,596.97,596.97,"3,686,300"
"May 3, 2024",566,580.26,565.16,579.34,579.34,"3,307,500"
"May 2, 2024",556.02,565.46,555.59,565.15,565.15,"3,068,200"
"May 1, 2024",547.84,560.39,544.25,551.71,551.71,"3,473,200"
"Apr 30, 2024",560,560,549.38,550.64,550.64,"3,361,500"
"Apr 29, 2024",559.18,559.64,554.24,559.49,559.49,"2,508,900"
"Apr 26, 2024",558.21,562.92,553.19,561.23,561.23,"4,332,600"
"Apr 25, 2024",549.46,566.54,545.71,564.8,564.8,"3,807,100"
"Apr 24, 2024",574.31,576.91,551.3,555.12,555.12,"5,355,300"
"Apr 23, 2024",556.49,579.21,555.28,577.75,577.75,"4,975,500"
"Apr 22, 2024",550.66,558.61,542.01,554.6,554.6,"8,597,700"
"Apr 19, 2024",567.88,579,552.16,555.04,555.04,"16,425,000"
"Apr 18, 2024",612.1,621.33,605.43,610.56,610.56,"8,468,400"
"Apr 17, 2024",620.97,620.97,607.71,613.69,613.69,"3,312,200"
"Apr 16, 2024",607.5,622.45,607.5,617.52,617.52,"3,519,100"
"Apr 15, 2024",630.17,630.17,603.87,607.15,607.15,"3,085,400"
"Apr 12, 2024",628.23,633.12,618.92,622.83,622.83,"2,956,500"
"Apr 11, 2024",624.42,631.66,617.24,628.78,628.78,"2,662,700"
"Apr 10, 2024",610.97,620.14,609.34,618.58,618.58,"2,806,200"
"Apr 9, 2024",631.99,631.99,615.63,618.2,618.2,"2,146,600"
"Apr 8, 2024",636.39,639,628.11,628.41,628.41,"2,145,700"
"Apr 5, 2024",624.92,637.91,622.71,636.18,636.18,"3,372,800"
"Apr 4, 2024",633.21,638,616.58,617.14,617.14,"3,064,300"
"Apr 3, 2024",612.75,630.41,611.5,630.08,630.08,"2,931,200"
"Apr 2, 2024",611,615.03,605.51,614.21,614.21,"2,029,200"
"Apr 1, 2024",608,615.11,605.57,614.31,614.31,"2,115,900"
"Mar 28, 2024",614.99,615,601.59,607.33,607.33,"3,708,800"
"Mar 27, 2024",629.01,631.35,610.73,613.53,613.53,"2,628,300"
"Mar 26, 2024",625.2,634.39,619.18,629.24,629.24,"2,804,500"
"Mar 25, 2024",627.9,630.46,623.16,627.46,627.46,"1,803,300"
"Mar 22, 2024",624.16,629.05,621,628.01,628.01,"2,134,100"
"Mar 21, 2024",630.65,634.36,622.33,622.71,622.71,"2,507,700"
"Mar 20, 2024",619.95,629.51,618.34,627.69,627.69,"2,639,500"
"Mar 19, 2024",615.62,621.28,608,620.74,620.74,"2,142,600"
"Mar 18, 2024",613.56,627.41,610.45,618.39,618.39,"3,344,200"
"Mar 15, 2024",622.92,622.92,603.82,605.88,605.88,"6,670,900"
"Mar 14, 2024",615,620.8,607.35,613.01,613.01,"3,120,500"
"Mar 13, 2024",613.37,614.85,607.21,609.45,609.45,"2,192,100"
"Mar 12, 2024",600.21,615.3,596.27,611.08,611.08,"2,821,600"
"Mar 11, 2024",608.08,611,600.37,600.93,600.93,"2,500,900"
"Mar 8, 2024",608.27,616.09,600.84,604.82,604.82,"2,774,600"
"Mar 7, 2024",599.34,610.53,595.9,608.51,608.51,"2,742,800"
"Mar 6, 2024",602.99,607.93,593.56,597.69,597.69,"2,469,600"
"Mar 5, 2024",610.1,610.91,592,598.5,598.5,"3,849,600"
"Mar 4, 2024",621.56,624.42,615.08,615.83,615.83,"3,020,300"
"Mar 1, 2024",599.81,620.28,599.5,619.34,619.34,"4,264,200"
"Feb 29, 2024",604.25,604.52,595.16,602.92,602.92,"3,572,100"
"Feb 28, 2024",595.79,598.17,590.01,596.48,596.48,"2,605,200"
"Feb 27, 2024",595,605.36,592.33,601.67,601.67,"4,489,400"
"Feb 26, 2024",583.56,590.75,583.27,587.65,587.65,"2,393,700"
"Feb 23, 2024",586.4,592.43,579.82,583.56,583.56,"2,568,900"
"Feb 22, 2024",582.75,590.85,578.89,588.47,588.47,"3,526,600"
"Feb 21, 2024",573.51,575.78,567.32,573.35,573.35,"2,281,100"
"Feb 20, 2024",580.18,586,569.66,575.13,575.13,"3,124,200"
"Feb 16, 2024",596.95,597,577.46,583.95,583.95,"4,323,600"
"Feb 15, 2024",581.91,593.77,580.32,593.46,593.46,"5,220,900"
"Feb 14, 2024",567.26,581.25,564.34,579.33,579.33,"5,634,200"
"Feb 13, 2024",550.8,559.2,549,554.52,554.52,"3,511,500"
"Feb 12, 2024",560.36,568.44,557,557.85,557.85,"3,608,500"